,X,Y,Z
645,9.375,3.0625,1.31
646,1.455,5.845,1.0152
647,0.0,3.0625,1.06
648,9.375,3.0625,1.05
649,7.965,5.125,1.115
650,8.665,5.125,1.64
651,0.995,5.845,0.5828
652,8.575,5.625,0.6
653,1.665,5.845,1.2126
654,0.0,3.0625,1.68
655,9.375,3.0625,1.73
656,2.735,5.845,2.2184
657,8.405,5.125,1.445
658,9.375,3.0625,1.68
659,0.0,3.0625,1.44
660,8.575,5.625,0.81
661,0.0,3.0625,1.62
662,8.575,5.625,0.93
663,9.375,3.0625,1.5
664,8.595,5.125,1.5875
665,7.775,5.125,0.9725
666,8.575,5.625,1.59
667,2.675,5.845,2.162
668,7.215,5.125,0.5525
669,9.375,3.0625,1.32
670,9.375,3.0625,1.82
671,8.575,5.625,1.8
672,0.0,3.0625,1.93
673,0.0,3.0625,1.48
674,8.575,5.125,1.5725
675,0.0,3.0625,1.21
676,2.165,5.845,1.6826
677,9.375,3.0625,1.27
678,9.375,3.0625,0.54
679,1.985,5.845,1.5134
680,8.575,5.625,0.54
681,9.375,3.0625,0.89
682,0.0,3.0625,1.63
683,2.225,5.845,1.739
684,7.475,5.125,0.7475
685,8.575,5.625,1.62
686,9.375,3.0625,1.15
687,0.695,5.845,0.3008
